MPN,Title,,,,,,
C5054002-484,MOUNT-R/H-ENGINE,,,,,,
C5054002-483,MOUNT-ENGINE-R/H-AFT,,,,,,
C1220055-1,STOP,,,,,,
C1250105-1,SUPPORT,,,,,,
C0712309-12,FAIRING,,,,,,
C1234603-2,RIB,,,,,,
C3411-3,RING,,,,,,
C636465,GASKET,,,,,,
C1713284-1,STIFFENER,,,,,,
C1221072-4,BRACKETT,,,,,,
C2152014-1,MOUNT,,,,,,
C0520008-1,FAIRING,,,,,,
CW1215B,GENERATOR,,,,,,
CC662503-0101,PROP DE-ICE GAUGE,,,,,,
CS-1325L-1,OXYGEN PRESSURE GAU.,,,,,,
C819482,AMPERES GUAGE,,,,,,
C819482,AMPERES GUAGE,,,,,,
C5-90262,FUEL GAUGE,,,,,,
C815690,FUEL GAUGE,,,,,,
C815690,FUEL GAUGE,,,,,,
C815690,FUEL GAUGE,,,,,,
C51-1226-1,SINGLE BAT TEMP IND,,,,,,
C51-1226-1,SINGLE BAT TEMP IND,,,,,,
C50-380046-3,PRES. DIFF. INDIC.,,,,,,
C548-706,PRES. DIFF. INDIC.,,,,,,
C50094-2,CABIN CLIMB INDICATO,,,,,,
C50094-2,CABIN CLIMB INDICATO,,,,,,
C50-380016-13,DE-ICE PRES. GAUGE,,,,,,
C558-975,PANEL,,,,,,
C558-977,PANEL,,,,,,
C130374-24,OUTFLOW VAL. CONTROL,,,,,,
C562-756,AOA INDIC.,,,,,,
C62482,VAC. WARN. SWITCH,,,,,,
C9910328-1,EXHAUST GAS TEMP IN,,,,,,
C9910328-1,EXHAUST GAS TEMP IN,,,,,,
C9910330-1,ENG. TORQUE INDIC.,,,,,,
C9910283-1,FUEL INDIC.,,,,,,
C750-100,PRESSURE SWITCH,,,,,,
C9910287-2,PRES. SWITCH,,,,,,
C9910287-2,PRES. SWITCH,,,,,,
CS-450-1,HYD. FILTER,,,,,,
C50-380065,HYD. PUMP,,,,,,
C5303-2,VALVE,,,,,,
C5303-2,VALVE,,,,,,
C200-2A9/C7,CARB TEMP INDIC.,,,,,,
C5727110-2,ACTUATOR,,,,,,
C9910340-10,INST. PANEL,,,,,,
CC668517-0101,CABIN ALT,,,,,,
CC668517-0101,CABIN ALT,,,,,,
CC668517-0101,CABIN ALT,,,,,,
C9910146-2,FLAP CTRL. SOLENOID,,,,,,
CD160-00-3,"MOTOR, FLAP",,,,,,
C9910070-1,MOTOR,,,,,,
C9910070-1,MOTOR,,,,,,
C751-278,SERVO,,,,,,
C5BA25HJ119,"MOTOR,24V",,,,,,
C4000780-8501,SLIP-SKID SENSOR,,,,,,
C95-324044-1,INST. PANEL,,,,,,
C9910051-11,INST. PANEL,,,,,,
C75041-9,INST. PANEL,,,,,,
C58-970000-23,INST. PANEL,,,,,,
C60-324126-1,L/H PANEL EDGE UPPER,,,,,,
C1C469-6-443,PITCH TRIM SERVO,,,,,,
C1C469-345,SERVO,,,,,,
C45850-3912,ACTUATOR,,,,,,
C45850-3912,ACTUATOR,,,,,,
C1C373-4-454,SERVO,,,,,,
CKA136,TRIM MONITOR,,,,,,
C3E1150-10,ELEC. DE-ICER,,,,,,
C49684-2,WING FLAP INDIC.,,,,,,
C49684-2,WING FLAP INDIC.,,,,,,
C4G8G23G1,PROP GOVERNOR,,,,,,
C46725-A,ELECTRIC FUEL PUMP,,,,,,
C1B5-7,FUEL PUMP,,,,,,
C3008A,FUEL PUMP,,,,,,
CA-10060-D,FUEL PUMP,,,,,,
C8538268,RADIATOR,,,,,,
C8538268,RADIATOR,,,,,,
C8538850,OIL COOLER,,,,,,
C8524295,OIL COOLER,,,,,,
C8524295,OIL COOLER,,,,,,
C60-1755-5,POWER SUPPLY,,,,,,
C60-1755-1,POWER SUPPLY,,,,,,
C60-1755-1,POWER SUPPLY,,,,,,
C61-2008,POWER SUPPLY,,,,,,
C60-1014,POWER SUPPLY,,,,,,
C61-1008,AURAL WARNING GENERA,,,,,,
CP-528A,VOLTAGE CONVERTER,,,,,,
CC291503-0101,FUEL SELECTOR,,,,,,
C1470067-4,DOUBLER,,,,,,
C1732008-3,RIB,,,,,,
C1732008-3,RIB,,,,,,
CXW20345,WIPER CONTROL,,,,,,
CXW20345,WIPER CONTROL,,,,,,
CXW20345,WIPER CONTROL,,,,,,
CXW20345,WIPER CONTROL,,,,,,
CXW20345,WIPER CONTROL,,,,,,
CXW20345,WIPER CONTROL,,,,,,
C5485-016,SYNCHRONIZER ACT.,,,,,,
C30018-30,ANT. DUCT TEMP.,,,,,,
C6121,MANIFOLD PRES. GAU.,,,,,,
C6121,MANIFOLD PRES. GAU.,,,,,,
CS1514N2,MANIFOLD PRES. GAU,,,,,,
CS1514N2,MANIFOLD PRES. GAU,,,,,,
CS1514N2,MANIFOLD PRES. GAU,,,,,,
CS1514N2,MANIFOLD PRES. GAU,,,,,,
CS1514N2,MANIFOLD PRES. GAU,,,,,,
CS1514N2,MANIFOLD PRES. GAU,,,,,,
C50-380011-27,MANIFOLD PRES. GAU.,,,,,,
C50-380011-27,MANIFOLD PRES. GAU.,,,,,,
C6007-50A-7-A,AUTOSYN IND,,,,,,
C50-380011-15,MANIFOLD PRES. GAU.,,,,,,
C46098,EGT INDIC.,,,,,,
C205-34A,TIT INDIC.,,,,,,
C205-34A,TIT INDIC.,,,,,,
C17960-00,PLATE,,,,,,
C18045-000,SPRING,,,,,,
C18283-000,SHIM,,,,,,
C18593-000,LINK,,,,,,
C18716-003,PLATE,,,,,,
C18909-000,PLATE,,,,,,
C19047-000,ACCESS PANEL,,,,,,
C19148-000,BRACKET,,,,,,
C16419-001,BRACKET,,,,,,
C17067-018,BRACKET,,,,,,
C17103-001,BRACKET,,,,,,
C17480-000,PLATE,,,,,,
C17852-002,PLATE,,,,,,
C12868-002,PLATE,,,,,,
C13012-000,BRACKET,,,,,,
C13676-000,GROMMETT,,,,,,
C14644-00,BRACKET,,,,,,
C14976-067,BUSHING,,,,,,
C10075-004,V-SHAPE PLATE,,,,,,
C10124-001,CLAMP,,,,,,
C10125-000,CLAMP,,,,,,
C10149-000,CLAMP,,,,,,
C10161-005,FITTING,,,,,,
C10171-03,BRACKET,,,,,,
C10201-000,NIPPLE,,,,,,
C10281-000,BRACKET,,,,,,
C10311-00,BRACKET,,,,,,
C10391-000,BRACKET,,,,,,
CPS1432,HOUSING,,,,,,
CS225-8,PLATE,,,,,,
C65760-000,DOUBLER,,,,,,
C0731000-23,RIB,,,,,,
C0441155-1,BRACKET,,,,,,
C0432001-19,BRACKET,,,,,,
C0432001-20,BRACKET,,,,,,
C0432163-3,TUBE,,,,,,
C0434116-1,TUBE,,,,,,
C0450262-1,FITTING,,,,,,
C0442145-1,DECAL,,,,,,
C0441024-1,PLATE,,,,,,
C0452019-1,BRACKET,,,,,,
C0450215-1,BRACKET,,,,,,
C0450211-1,FASTENER,,,,,,
C0453115-1,ANGLE,,,,,,
C0453109,PLATE,,,,,,
C0453116-5,DOUBLER,,,,,,
C0453116-3,DOUBLER,,,,,,
C0453116-4,DOUBLER,,,,,,
C0513137-2,GUSSET,,,,,,
C0510163-1,BRACKET,,,,,,
C0510171-1,PLATE,,,,,,
C0513382-14,PIV0T,,,,,,
C0511496-1,BRACKET,,,,,,
C0513429-1,DOUBLER,,,,,,
C0520008,FAIRING,,,,,,
C0513429-2,DOUBLER,,,,,,
C0523230-5,ANGLE,,,,,,
C0523306,FITTING - STRAP,,,,,,
C0523808,RIB,,,,,,
C0523809,RIB,,,,,,
C0621129,ADAPTER,,,,,,
C0523812-2,BRACKET,,,,,,
C0523901-9,RIB,,,,,,
C0541141-2,PLATE,,,,,,
C0541141-1,PLATE,,,,,,
C0541143,PISTON,,,,,,
C0543023,CLEVIS,,,,,,
C0713524-3,COVER,,,,,,
C0712001-1,FITTING,,,,,,
C0712002-1,FITTING,,,,,,
C0712016-1,GUSSET,,,,,,
C0711059-3,GUARD,,,,,,
C0712213,STOP,,,,,,
C0713685-1,STIFFNER,,,,,,
C0721107-2,FAIRING,,,,,,
C0712309-1,BELLCRANK,,,,,,
C0721116-1,DOUBLER,,,,,,
C0721107-1,FAIRING,,,,,,
C0732100-4,BRACKET,,,,,,
C0731100-13,BRACKET,,,,,,
C0732611-1,BRACKET,,,,,,
C0732611-2,RIB,,,,,,
C0734600-17,SPAR,,,,,,
C0752014-17,BRACKET,,,,,,
C0750030-1,STRAP,,,,,,
C0752021-1,CLIP AIRBOX BOOT,,,,,,
C0760630-1,SPROCKET,,,,,,
C0826003-3,CHANNEL,,,,,,
C0851203-12,FITTING,,,,,,
C0851203-20,FITTING,,,,,,
C0861700-66,PIN,,,,,,
C1211260-1,BULKHEAD,,,,,,
C1213496-6,BRACE,,,,,,
C1213496-5,BRACE,,,,,,
C1221059-2,BRACKET,,,,,,
C1250916-3,BRACKET,,,,,,
C1231029-2,BRACKET,,,,,,
C1250138-1,BRACKET,,,,,,
C1620035-2,BRACKET,,,,,,
C1660507-1,SPACER,,,,,,
C1652004-1,DOUBLER,,,,,,
C1652004-2,DOUBLER,,,,,,
C1660131-12,STOP,,,,,,
C1712108-3,ANGLE,,,,,,
C1711025-6,HINGE,,,,,,
C1713154-3,STIFFENER,,,,,,
C1713109-1,BRACKET,,,,,,
C2330048,ARM,,,,,,
C2530151,LINK,,,,,,
C2530152,LINK,,,,,,
C2550143-1,BRACKET,,,,,,
C2550142-20,NUT,,,,,,
C2550107-2,SUPPORT,,,,,,
C1741006-1,RETAINER,,,,,,
C1743013-2,WEDGE,,,,,,
C406064,PLATE,,,,,,
C3710009-5,LINK,,,,,,
C488478,PLUNGER,,,,,,
C4860072-11,ANGLE,,,,,,
C4240008-3,BRACKET,,,,,,
C5330002-213,CABIN DOOR SEAL,,,,,,
C5330052-13,HINGE,,,,,,
C5310054-11,BRACKET,,,,,,
C5310051-93,COVER,,,,,,
C5310051-22,BRACKET,,,,,,
C5430010-127,SPACER,,,,,,
C5310028-27,ANGLE,,,,,,
C5510003-164,RIB,,,,,,
C5610005-136,SHAFT,,,,,,
C5550005-37,ARM,,,,,,
C5550002-59,SPACER,,,,,,
C5610211-44,BRACKET,,,,,,
C5610211-43,BRACKET,,,,,,
C5610005-140,DOOR,,,,,,
C477-90001,FIRE DETECTOR CNTRL.,,,,,,
CAR500,ALTITUDE REPORTER,,,,,,
CV45500-051,SHUTOFF VALVE,,,,,,
CB-233K,VOLT REG,,,,,,
CAN3025-2,REV. CURRENT RELAY,,,,,,
C138-3,RELAY,,,,,,
C7064-534-C,RELAY,,,,,,
C124-314111,RELAY,,,,,,
C124-314111,RELAY,,,,,,
C124-114111,RELAY,,,,,,
C6041H189,RELAY,,,,,,
C6041H202A,RELAY,,,,,,
C6141H129,CIRCUIT BREAKER,,,,,,
C6141H126,CIRCUIT BREAKER,,,,,,
C6041H149A,RELAY,,,,,,
C6041H201A,RELAY,,,,,,
CC593003-0101,OVERVOLT SENSOR,,,,,,
CC593003-0101,OVERVOLT SENSOR,,,,,,
CC593003-0101,OVERVOLT SENSOR,,,,,,
CC593003-0101,OVERVOLT SENSOR,,,,,,
CC593003-0101,OVERVOLT SENSOR,,,,,,
CC593003-0101,OVERVOLT SENSOR,,,,,,
CB-00266-2,OVERVOLT SENSOR,,,,,,
CB-00289-2,OVERVOLT SENSOR,,,,,,
CB-00344-1,OVERVOLT RELAY,,,,,,
CX17620,OVERVOLT CONTROL,,,,,,
CC611004-0101,VOLT REGULATOR - 28,,,,,,
CC611004-0101,VOLT REGULATOR - 28,,,,,,
CC611004-0102,VOLT REGULATOR,,,,,,
